work_id,title,collection_id,topic_family,source_mode,chunk_count,paragraph_count,section_count,thin_band,review_class,recommended_action,heuristic_score,family_id,family_label,family_work_count,family_chunked_count,member_role,reference_signals,fragment_signals,heuristic_reasons,manifest_path
wellcome-jgtvp9gd,Dr. Caldwell's guide to health home cook book / [W.B. Caldwell].,wellcome-collection,herbal;domestic-medicine,,59,60,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-dr-caldwells-guide-to-health-home-cook-book-unkn-69d29ef452,Dr. Caldwell's guide to health home cook book,2,2,copy,manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-jgtvp9gd\manifest.json
wellcome-ydxpwjpa,"Materia medica, therapeutics, hygiene.",wellcome-collection,materia-medica;hygiene,wellcome_text_api,64,65,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-materia-medica-therapeutics-hygiene-unknown-63c971a037,"Materia medica, therapeutics, hygiene.",2,2,copy,materia-medica,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-ydxpwjpa\manifest.json
wellcome-eqspnywg,"The old man's guide to health and longer life: with rules for diet, exercise, and physick; for preserving a good constitution, and preventing disorders in a bad one / [Anon].",wellcome-collection,domestic-medicine,wellcome_text_api,66,66,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-old-mans-guide-to-health-and-longer-life-with-ru-39e8cab677,"The old man's guide to health and longer life: with rules for diet, exercise, and physick; for preserving a good constitution, and preventing disorders in a bad one",2,2,canonical,manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-eqspnywg\manifest.json
wellcome-apdpgwkn,"The old man's guide to health and longer life: with rules for diet, exercise, and physick; for preserving a good constitution, and preventing disorders in a bad one / [Anon.] by J. Hill, M.D.",wellcome-collection,domestic-medicine;hygiene,wellcome_text_api,67,67,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-old-mans-guide-to-health-and-longer-life-with-ru-39e8cab677,"The old man's guide to health and longer life: with rules for diet, exercise, and physick; for preserving a good constitution, and preventing disorders in a bad one",2,2,copy,manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-apdpgwkn\manifest.json
wellcome-y9jypqcg,Dr. Caldwell's guide to health home cook book / [W.B.Caldwell].,wellcome-collection,herbal;domestic-medicine,,71,71,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-dr-caldwells-guide-to-health-home-cook-book-unkn-69d29ef452,Dr. Caldwell's guide to health home cook book,2,2,canonical,manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-y9jypqcg\manifest.json
nlm-101185051,"The principles of hydropathy, or the invalid's guide to health and happiness : being a plain familiar exposition of the principles of the water-cure system",nlm-digital-collections,domestic-medicine,,88,107,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-principles-of-hydropathy-or-the-invalids-guide-t-6032de8943,"The principles of hydropathy, or the invalid's guide to health and happiness",2,1,canonical,manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101185051\manifest.json
wellcome-wz28jv9k,"A cheap, sure, and ready guide to health, or, A cure for a disease call'd the doctor : instructing, how to prevent being cheated and destroyed by the exactions and unmerciful usage of ignorant and oppressive physicians and apothecaries : and to prepare at home the proper medicines for usual distempers : with the prices, to save ninteen shillings in twenty, and expend little more than a penny a dose : likewise a new account of the connection of distempers, key to all physic, and to know any disease / set forth by the benefaction of a very worthy private gentleman, to contain more than any book of the kind, at the lowest rate, as necessary for all families, and all persons.",wellcome-collection,materia-medica;domestic-medicine,,99,107,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-cheap-sure-and-ready-guide-to-health-or-a-cure-f-c72f01b9fc,"A cheap, sure, and ready guide to health, or, A cure for a disease call'd the doctor",2,2,canonical,manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-wz28jv9k\manifest.json
wellcome-zy4wwz73,"A cheap, sure, and ready guide to health, or, A cure for a disease call'd the doctor : instructing, how to prevent being cheated and destroyed by the exactions and unmerciful usage of ignorant and oppressive physicians and apothecaries : and to prepare at home the proper medicines for usual distempers : with the prices, to save ninteen shillings in twenty, and expend little more than a penny a dose : likewise a new account of the connection of distempers, key to all physic, and to know any disease / set forth by the benefaction of a very worthy private gentleman, to contain more than any book of the kind, at the lowest rate, as necessary for all families, and all persons.",wellcome-collection,materia-medica;domestic-medicine,,100,108,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-cheap-sure-and-ready-guide-to-health-or-a-cure-f-c72f01b9fc,"A cheap, sure, and ready guide to health, or, A cure for a disease call'd the doctor",2,2,copy,manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-zy4wwz73\manifest.json
wellcome-es4df5km,"A materia medica of the United States : systematically arranged / by William Zollickoffer, M.D. licentiate in medicine and surgery, member of the medical and chirurgical faculty of Maryland, and honorary member of the Medical Society of Maryland.",wellcome-collection,materia-medica,wellcome_text_api,104,106,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-materia-medica-of-the-united-states-zollickoffer-d1204d1eaf,"A materia medica , of the United States",2,2,copy,materia-medica,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-es4df5km\manifest.json
wellcome-s2rfczwu,"A catalogue of Indian medicinal plants and drugs, with their names in the Hindustani and Sanscrit languages / [John Fleming].",wellcome-collection,medicinal-plants,wellcome_text_api,119,119,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-catalogue-of-indian-medicinal-plants-and-drugs-w-b6caadc2ea,"A catalogue of Indian medicinal plants and drugs, with their names in the Hindustani and Sanscrit languages",2,2,canonical,medicinal-plants,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:medicinal-plants,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-s2rfczwu\manifest.json
nlm-101178200,"The Era key to the U.S.P. : a complete list of the drugs and preparations of the United States Pharmacopoeia , revision of 1890-3 : giving official titles, common names and synonyms of the drugs, chemicals and preparations of the Pharmacopoeia , with doses in apothecaries weights and measures with equivalents in metric terms",nlm-digital-collections,pharmacopoeia,,146,146,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-era-key-to-the-u-s-p-unknown-ee795158ba,The Era key to the U.S.P.,2,2,canonical,pharmacopoeia,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101178200\manifest.json
nlm-9804174,"The Era key to the U.S.P. : a complete list of the drugs and preparations of the United States Pharmacopoeia , revision of 1890-3 : giving official titles, common names and synonyms of the drugs, chemicals and preparations of the Pharmacopoeia , with doses in apothecaries weights and measures with equivalents in metric terms",nlm-digital-collections,pharmacopoeia,,149,150,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-era-key-to-the-u-s-p-unknown-ee795158ba,The Era key to the U.S.P.,2,2,copy,pharmacopoeia,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-9804174\manifest.json
wellcome-gfdnm2ke,Pharmacopoeia Collegii Regalis Medicorum Londinensis. MDCCCIX.,wellcome-collection,pharmacopoeia,wellcome_text_api,151,152,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-pharmacopoeia-collegii-regalis-medicorum-londine-0ab56a803a,Pharmacopoeia Collegii Regalis Medicorum Londinensis. MDCCCIX.,5,1,canonical,pharmacopoeia,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-gfdnm2ke\manifest.json
nlm-56720430R,"Guide to health , with remarks on the cholera",nlm-digital-collections,domestic-medicine;hygiene,,41,362,5,thin,thin-fragment,keep-but-review-retrieval-weight,62,family-guide-to-health-with-remarks-on-the-cholera-faus-61de5f082d,"Guide to health , with remarks on the cholera",1,1,canonical,manual,remarks,thin-length;fragment-shaped-title:remarks;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-56720430R\manifest.json
nlm-101306675,Homoeopathic domestic medicine,nlm-digital-collections,domestic-medicine,,43,68,4,thin,thin-general,manual-review,62,family-homoeopathic-domestic-medicine-laurie-j-4519463c9d,Homoeopathic domestic medicine,18,1,canonical,,,thin-length;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101306675\manifest.json
nlm-61660440R,"Manual of the active principles of indigenous and foreign medicinal plants : as prepared at the laboratory of B. Keith & Co., New York",nlm-digital-collections,medicinal-plants,,75,166,1,thin,thin-reference,keep-but-review-retrieval-weight,62,family-manual-of-the-active-principles-of-indigenous-an-d8f3ce8549,Manual of the active principles of indigenous and foreign medicinal plants,2,2,edition,medicinal-plants;manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:medicinal-plants|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-61660440R\manifest.json
nlm-61660460R,Manual of the active principles of indigenous and foreign medicinal plants : as prepared at the laboratory of B. Keith & Co,nlm-digital-collections,medicinal-plants,,117,119,1,thin,thin-reference,keep-but-review-retrieval-weight,62,family-manual-of-the-active-principles-of-indigenous-an-d8f3ce8549,Manual of the active principles of indigenous and foreign medicinal plants,2,2,canonical,medicinal-plants;manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:medicinal-plants|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-61660460R\manifest.json
wellcome-gj98gtft,"The gentleman's medical adviser, and sure guide to health and long life : designed to illustrate the author's new system of botanical practice in the cure of all diseases incident to exposure, early indiscretions, etc. / by Frederic Morrill.",wellcome-collection,domestic-medicine;botany,wellcome_text_api,119,135,1,thin,thin-reference,keep-but-review-retrieval-weight,62,family-gentlemans-medical-adviser-and-sure-guide-to-hea-4c0845a516,"The gentleman's medical adviser, and sure guide to health and long life",2,2,copy,botany;manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:botany|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-gj98gtft\manifest.json
wellcome-r74qsznp,"The Prescriber's pharmacopoeia : containing all the medicines in the London pharmacopoeia, arranged in classes according to their action, with their composition and doses / by a practising physician, altered to correspond with the U.S. dispensatory ; revised and improved by an American physician.",wellcome-collection,pharmacopoeia,wellcome_text_api,150,150,1,thin,thin-reference,keep-but-review-retrieval-weight,62,family-prescribers-pharmacopoeia-unknown-dcb5e2383b,The Prescriber's pharmacopoeia,3,3,canonical,pharmacopoeia;dispensatory,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:pharmacopoeia|dispensatory,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-r74qsznp\manifest.json
wellcome-a777w8ct,"A series of botanical tables, and tables of the materia medica, designed for the use of students preparing for examination at Apothecaries' Hall : illustrated with numerous engravings on wood, and four coloured medico-botanical maps of Europe, Asia, Africa, and America, showing the geographical situation of all the plants of the Pharmacopoeia / by W.K. Toase.",wellcome-collection,materia-medica;pharmacopoeia;botany,wellcome_text_api,66,67,1,thin,thin-reference,keep-but-review-retrieval-weight,58,family-series-of-botanical-tables-and-tables-of-the-mat-17100870eb,"A series of botanical tables, and tables of the materia medica, designed for the use of students preparing for examination at Apothecaries' Hall",2,1,canonical,botany;materia-medica;pharmacopoeia,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:botany|materia-medica|pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-a777w8ct\manifest.json
nlm-2568047R,A course of fifteen lectures on medical botany : denominated Thomson's new theory of medical practice : in which the various theories that have preceded it are reviewed and compared,nlm-digital-collections,medical-botany;botany,,41,59,5,thin,thin-reference,keep-but-review-retrieval-weight,48,family-course-of-fifteen-lectures-on-medical-botany-rob-1e1db5159b,A course of fifteen lectures on medical botany,8,5,canonical,botany,,thin-length;multi-work-family;reference-shaped-title:botany,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2568047R\manifest.json
nlm-101310154,A clinical materia medica : being a course of lectures delivered at the Hahnemann medical college of Philadelphia,nlm-digital-collections,materia-medica,,49,73,6,thin,thin-reference,keep-but-review-retrieval-weight,48,family-clinical-materia-medica-farrington-ea1-3b05e4c1e0,A clinical materia medica,4,1,canonical,materia-medica,,thin-length;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101310154\manifest.json
nlm-0061627,"New guide to health , or, Botanic family physician : containing a complete system of practice, upon a plan entirely new ; with a description of the vegetables made use of, and directions for preparing and administering them to cure disease ; to which is prefixed A narrative of the life and medical discoveries of the author",nlm-digital-collections,domestic-medicine,,52,69,6,thin,thin-reference,keep-but-review-retrieval-weight,48,family-new-guide-to-health-or-botanic-family-physician--c26ccab365,"New guide to health , or, Botanic family physician",18,10,canonical,manual,,thin-length;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-0061627\manifest.json
nlm-101260899,"Medical information for the million, or The true guide to health : on eclectic and reformed principles; being plain advice to both sexes in the treatment of nervous, consumptive, scrofulous, and other complaints to which is added a practical essay on sexual diseases: including the symptoms and treatment of veneral, gonorheal, and syphilitic complaints; masturbation, seminal debility, barrenness, abortion, etc., embellished by nearly one hundred illustrative engravings",nlm-digital-collections,domestic-medicine,,53,94,11,thin,thin-reference,keep-but-review-retrieval-weight,48,family-medical-information-for-the-million-or-the-true--c7f55acefc,"Medical information for the million, or The true guide to health",2,1,canonical,manual,,thin-length;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101260899\manifest.json
nlm-63450900R,"The medical student's vade mecum : a compendium of anatomy, physiology, chemistry, poisons, materia medica , pharmacy, surgery, obstetrics, practice of medicine, diseases of the skin, etc. etc",nlm-digital-collections,materia-medica,,89,130,6,thin,thin-reference,keep-but-review-retrieval-weight,48,family-medical-students-vade-mecum-mendenhall-g1-68b282f47b,The medical student's vade mecum,5,1,canonical,materia-medica,,thin-length;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63450900R\manifest.json
nlm-2567056R,"The American medical lexicon : on the plan of Quincy's Lexicon physico-medicum, with many retrenchments, additions, and improvements : comprising an explanation of the etymology and signification of the terms used in anatomy, physiology, surgery, materia medica, chemistry, and the practice of physic",nlm-digital-collections,materia-medica,,41,53,7,thin,thin-reference,keep-but-review-retrieval-weight,44,family-american-medical-lexicon-quincy-j-953a235519,The American medical lexicon,2,2,canonical,materia-medica;dictionary,,thin-length;multi-work-family;reference-shaped-title:materia-medica|dictionary,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2567056R\manifest.json
nlm-8806292,A hand-book of materia medica and therapeutics : with twenty-nine illustrations : being a portion of An analytical compendium of the various branches of medicine,nlm-digital-collections,materia-medica,,48,70,6,thin,thin-reference,keep-but-review-retrieval-weight,44,family-hand-book-of-materia-medica-and-therapeutics-nei-8c388490ff,A hand-book of materia medica and therapeutics,2,2,canonical,materia-medica;manual,,thin-length;multi-work-family;reference-shaped-title:materia-medica|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-8806292\manifest.json
nlm-9711165,"The gentleman's medical adviser, and sure guide to health and long life : designed to illustrate the author's new system of botanical practice in the cure of all diseases incident to exposure, early indiscretions, etc",nlm-digital-collections,domestic-medicine;botany,,116,162,2,thin,thin-reference,keep-but-review-retrieval-weight,44,family-gentlemans-medical-adviser-and-sure-guide-to-hea-4c0845a516,"The gentleman's medical adviser, and sure guide to health and long life",2,2,canonical,botany;manual,,thin-length;multi-work-family;reference-shaped-title:botany|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-9711165\manifest.json
nlm-101602783,"A conspectus of the pharmacopoeias of the London, Edinburgh, and Dublin Colleges of Physicians, and of the United States pharmacopoeia : being a practical compendium of materia medica and pharmacy",nlm-digital-collections,materia-medica;pharmacopoeia,,44,65,8,thin,thin-reference,keep-but-review-retrieval-weight,40,family-conspectus-of-the-pharmacopoeias-of-the-london-e-416363bf92,"A conspectus of the pharmacopoeias of The London, Edinburgh and Dublin Colleges of Physicians, and of The United States Pharmacopoeia",4,4,copy,materia-medica;pharmacopoeia;conspectus,,thin-length;multi-work-family;reference-shaped-title:materia-medica|pharmacopoeia|conspectus,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101602783\manifest.json
nlm-63580310R,"The medical assistant : a large and valuable family work, containing in plain and simple language the nature and treatment of diseases : much of which has been taken from the most approved family works now in use, while the treatises on the diseases peculiar to this climate have been prepared expressly for this work : it also contains a materia medica , a dispensatory, nurse's guide and diet for sick : a glossary is attached to explain the medical terms used in the book",nlm-digital-collections,herbal;materia-medica,,44,60,8,thin,thin-reference,keep-but-review-retrieval-weight,36,family-medical-assistant-horr-dgm-70e191008a,The medical assistant,2,2,canonical,materia-medica;dispensatory;dictionary;manual,,thin-length;multi-work-family;reference-shaped-title:materia-medica|dispensatory|dictionary|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63580310R\manifest.json
